Designator,Layer,Mid X,Mid Y,Rotation
D6,TopLayer,58.293,33.274,180
R4,TopLayer,68.834,52.197,0
U3,TopLayer,41.2059,34.1672,0
R8,TopLayer,42.164,39.878,0
R7,TopLayer,42.164,38.227,180
C21,TopLayer,42.164,31.115,180
U2,TopLayer,57.531,49.593,0
U1,TopLayer,66.929,35.433,90
SW2,TopLayer,49.403,27.432,0
SW1,TopLayer,66.04,27.432,0
R6,TopLayer,49.403,30.353,180
R5,TopLayer,66.04,30.353,180
R3,TopLayer,68.834,50.673,0
R2,TopLayer,34.144,36.576,0
R1,TopLayer,34.144,35.179,0
Q1,TopLayer,28.575,61.468,270
L1,TopLayer,28.829,57.023,180
J2,TopLayer,27.528,45.72,270
J1,TopLayer,57.531,28.194,0
D9,TopLayer,68.834,55.753,90
D8,TopLayer,68.834,60.071,90
D7,TopLayer,49.784,32.766,0
D5,TopLayer,56.134,33.274,0
D4,TopLayer,49.784,34.544,0
D3,TopLayer,34.163,61.468,0
D2,TopLayer,38.1,58.801,90
D1,TopLayer,34.163,59.309,180
20,TopLayer,44.795,54.483,0
C19,TopLayer,68.834,41.91,0
18,TopLayer,44.795,56.007,180
C17,TopLayer,44.831,59.309,0
16,TopLayer,61.504,33.8882,180
C15,TopLayer,61.504,32.1102,180
C14,TopLayer,61.504,37.6982,0
13,TopLayer,61.504,35.9202,0
C12,TopLayer,34.163,38.354,0
11,TopLayer,34.163,39.878,0
C10,TopLayer,34.163,45.847,0
9,TopLayer,34.163,47.371,0
8,TopLayer,34.163,48.895,0
7,TopLayer,34.163,50.419,0
C6,TopLayer,37.084,51.308,0
5,TopLayer,34.163,52.451,0
4,TopLayer,34.163,53.975,0
3,TopLayer,34.163,55.753,0
2,TopLayer,44.795,57.531,0
1,TopLayer,34.163,57.277,0
